Code_Postal;Rue;Rue_complement;Ville;Département;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;Geoloc2
"97400";"148 RUE DU MARECHAL LECLERC";;"SAINT-DENIS";"REUNION";"-20.879471";"55.455281";"148 Rue du MarÃ©chal Leclerc 97400 Saint-Denis";"0.78";"housenumber";"ADRNIVX_0000001401759600";"148";"Rue du MarÃ©chal Leclerc";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.879476,55.455218"
"97400";"112 RUE DU MARECHAL LECLERC";;"SAINT-DENIS";"REUNION";"-20.87906";"55.454034";"112 Rue du MarÃ©chal Leclerc 97400 Saint-Denis";"0.78";"housenumber";"ADRNIVX_0000001401758611";"112";"Rue du MarÃ©chal Leclerc";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.879074,55.45406"
"69140";"3 SQUARE HENRI DUNANT";;"RILLIEUX LA PAPE";"RHONE";"45.821556";"4.895213";"3 Square Henri Dunant 69140 Rillieux-la-Pape";"0.78";"housenumber";"ADRNIVX_0000002100495138";"3";"Square Henri Dunant";;"69140";"Rillieux-la-Pape";"69, RhÃ´ne, Auvergne-RhÃ´ne-Alpes (RhÃ´ne-Alpes)";"69286";"45.821465,4.894731"
"97400";"240 RUE DU MARECHAL LECLERC";;"SAINT-DENIS";"REUNION";"-20.88149";"55.459446";"240 Rue du MarÃ©chal Leclerc 97400 Saint-Denis";"0.78";"housenumber";"ADRNIVX_0000001402403701";"240";"Rue du MarÃ©chal Leclerc";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.881528,55.459436"
"33800";"39 RUE HIPPOLYTE MINIER ";;"BORDEAUX";"GIRONDE";"44.823482";"-0.567402";"39 Rue Hippolyte Minier 33800 Bordeaux";"0.78";"housenumber";"ADRNIVX_0000000276300374";"39";"Rue Hippolyte Minier";;"33800";"Bordeaux";"33, Gironde, Nouvelle-Aquitaine (Aquitaine)";"33063";"44.823477,-0.567409"
"97400";"202 B RUE DU MARECHAL LECLERC";;"SAINT-DENIS";"REUNION";"-20.880853";"55.457867";"202 B Rue du MarÃ©chal Leclerc 97400 Saint-Denis";"0.78";"housenumber";"ADRNIVX_0000002006202093";"202 B";"Rue du MarÃ©chal Leclerc";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.880853,55.457867"
"75019";"6 AVENUE DE LA PORTE BRUNET";;"PARIS";"PARIS";"48.883323";"2.395987";"6 Avenue de la Porte Brunet 75019 Paris";"0.78";"housenumber";"ADRNIVX_0000000270724956";"6";"Avenue de la Porte Brunet";;"75019";"Paris";"75, Paris, ÃŽle-de-France";"75119";"48.883364,2.396192"
"1000";"4 RUE CESAR";;"BOURG EN BRESSE";"AIN";"46.208488";"5.222411";"4 Rue CÃ©sar 01000 Bourg-en-Bresse";"0.78";"housenumber";"ADRNIVX_0000000285630895";"4";"Rue CÃ©sar";;"1000";"Bourg-en-Bresse";"01, Ain, Auvergne-RhÃ´ne-Alpes (RhÃ´ne-Alpes)";"1053";
"97400";"30 RUE MONSEIGNEUR DE BEAUMONT";;"SAINT-DENIS";"REUNION";"-20.883381";"55.456792";"30 Rue Monseigneur de Beaumont 97400 Saint-Denis";"0.78";"housenumber";"ADRNIVX_0000001401761900";"30";"Rue Monseigneur de Beaumont";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.883506,55.457239"
"97441";"179 BIS CHEMIN COMMUNE ANGO ";;"SAINTE-SUZANNE";"REUNION";"-20.943814";"55.617839";"179 BIS Chemin Commune Ango 97441 Sainte-Suzanne";"0.77";"housenumber";"ADRNIVX_0000001401824601";"179 BIS";"Chemin Commune Ango";;"97441";"Sainte-Suzanne";"974, La RÃ©union";"97420";"-20.943814,55.617839"
"97400";"15 PLACE AMBROISE VOLLARD ";;"SAINT-DENIS";"REUNION";"-20.890275";"55.451219";"15 Place Ambroise Vollard 97400 Saint-Denis";"0.77";"housenumber";"ADRNIVX_0000001401766987";"15";"Place Ambroise Vollard";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.890133,55.451501"
"97490";"90 CHEMIN FINETTE";;"SAINT-DENIS";"REUNION";"-20.905083";"55.47168";"90 Chemin Finette 97490 Saint-Denis";"0.77";"housenumber";"ADRNIVX_0000001401785153";"90";"Chemin Finette";;"97490";"Saint-Denis";"974, La RÃ©union";"97411";"-20.905219,55.47166"
"75011";"152 RUE DE LA ROQUETTE ";;"PARIS";"PARIS";"48.85825";"2.382974";"152 Rue de la Roquette 75011 Paris";"0.77";"housenumber";"ADRNIVX_0000000270771271";"152";"Rue de la Roquette";;"75011";"Paris";"75, Paris, ÃŽle-de-France";"75111";"48.858255,2.382991"
"97434";"131 RUE DU GENERAL DE GAULLE";;"SAINT-PAUL";"REUNION";"-21.051891";"55.227225";"131 Rue du GÃ©nÃ©ral de Gaulle 97434 Saint-Paul";"0.77";"housenumber";"ADRNIVX_0000001402625565";"131";"Rue du GÃ©nÃ©ral de Gaulle";;"97434";"Saint-Paul";"974, La RÃ©union";"97415";
"97410";"30 RUE MARIUS ET ARY LEBLOND";;"SAINT-PIERRE";"REUNION";"-21.338356";"55.477064";"30 Rue Marius et Ary Leblond 97410 Saint-Pierre";"0.77";"housenumber";"ADRNIVX_0000001402043810";"30";"Rue Marius et Ary Leblond";;"97410";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.338356,55.477064"
"97410";"52 RUE VICTOR LE VIGOUREUX";;"SAINT-PIERRE";"REUNION";"-21.33797";"55.474961";"52 Rue Victor le Vigoureux 97410 Saint-Pierre";"0.77";"housenumber";"ADRNIVX_0000001402041849";"52";"Rue Victor le Vigoureux";;"97410";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.33797,55.474961"
"85000";"46 RUE ALBERT CAMUS";;"LA ROCHE SUR YON";"VENDEE";"46.663381";"-1.397318";"46 Rue Albert Camus 85000 La Roche-sur-Yon";"0.77";"housenumber";"ADRNIVX_0000000281864197";"46";"Rue Albert Camus";;"85000";"La Roche-sur-Yon";"85, VendÃ©e, Pays-de-la-Loire";"85191";"46.663381,-1.397318"
"81000";"56 ALLEE DES AMANDIERS";;"ALBI";"TARN";"43.930175";"2.126549";"56 AllÃ©e des Amandiers 81000 Albi";"0.77";"housenumber";"ADRNIVX_0000000282112211";"56";"AllÃ©e des Amandiers";;"81000";"Albi";"81, Tarn, Occitanie (Midi-PyrÃ©nÃ©es)";"81004";"43.930175,2.126549"
"97460";"96 CHEMIN PITON DEFAUD";;"SAINT-PAUL";"REUNION";"-20.963711";"55.307805";"96 Chemin Piton Defaud 97460 Saint-Paul";"0.77";"housenumber";"ADRNIVX_0000002004044006";"96";"Chemin Piton Defaud";;"97460";"Saint-Paul";"974, La RÃ©union";"97415";"-20.967869,55.300648"
"75007";"101 RUE DE L UNIVERSITE";;"PARIS";"PARIS";"48.860845";"2.315714";"101 Rue de l'UniversitÃ© 75007 Paris";"0.77";"housenumber";"ADRNIVX_0000000270766869";"101";"Rue de l'UniversitÃ©";;"75007";"Paris";"75, Paris, ÃŽle-de-France";"75107";"48.86084,2.315909"
"97410";"2 B RUE VICTOR LE VIGOUREUX";;"SAINT-PIERRE";"REUNION";"-21.342737";"55.474101";"2 B Rue Victor le Vigoureux 97410 Saint-Pierre";"0.77";"housenumber";"ADRNIVX_0000001402445474";"2 B";"Rue Victor le Vigoureux";;"97410";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.342737,55.474101"
"97480";"65 ROUTE DE LA GRANDE CORNICHE";;"SAINT-JOSEPH";"REUNION";"-21.375321";"55.599428";"65 Route de la Grande Corniche 97480 Saint-Joseph";"0.77";"housenumber";"ADRNIVX_0000001402259456";"65";"Route de la Grande Corniche";;"97480";"Saint-Joseph";"974, La RÃ©union";"97412";"-21.375321,55.599428"
"97460";"19 RUE MARIUS ET ARY LEBLOND";;"SAINT-PAUL";"REUNION";"-21.008793";"55.271034";"19 Rue Marius et Ary Leblond 97460 Saint-Paul";"0.77";"housenumber";"ADRNIVX_0000001401869846";"19";"Rue Marius et Ary Leblond";;"97460";"Saint-Paul";"974, La RÃ©union";"97415";"-21.008793,55.271034"
"97400";"12 RUE VICTOR MAC AULIFFE";;"SAINT-DENIS";"REUNION";"-20.877743";"55.451549";"12 Rue Victor Mac Auliffe 97400 Saint-Denis";"0.77";"housenumber";"ADRNIVX_0000001401758802";"12";"Rue Victor Mac Auliffe";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.877751,55.451566"
"97410";"34 RUE VICTOR LE VIGOUREUX";;"SAINT-PIERRE";"REUNION";"-21.340248";"55.474215";"34 Rue Victor le Vigoureux 97410 Saint-Pierre";"0.77";"housenumber";"ADRNIVX_0000001402046231";"34";"Rue Victor le Vigoureux";;"97410";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.340248,55.474215"
"97460";"89 RUE MARIUS ET ARY LEBLOND";;"SAINT-PAUL";"REUNION";"-21.007026";"55.273579";"89 Rue Marius et Ary Leblond 97460 Saint-Paul";"0.77";"housenumber";"ADRNIVX_0000001401869265";"89";"Rue Marius et Ary Leblond";;"97460";"Saint-Paul";"974, La RÃ©union";"97415";"-21.007026,55.273579"
"97400";"1 RUE DU MARECHAL LECLERC";;"SAINT-DENIS";"REUNION";"-20.880596";"55.447656";"1 Rue du MarÃ©chal Leclerc 97400 Saint-Denis";"0.77";"housenumber";"ADRNIVX_0000001401759981";"1";"Rue du MarÃ©chal Leclerc";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.880712,55.447644"
"97400";"41 RUE SAINT JOSEPH OUVRIER";;"SAINT-DENIS";"REUNION";"-20.899986";"55.455846";"41 Rue Saint-Joseph Ouvrier 97400 Saint-Denis";"0.77";"housenumber";"ADRNIVX_0000001401782179";"41";"Rue Saint-Joseph Ouvrier";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.899992,55.455902"
"97432";"304 ALLEE DES BOIS NOIRS";;"SAINT-PIERRE";"REUNION";"-21.285512";"55.460448";"304 AllÃ©e des Bois Noirs 97432 Saint-Pierre";"0.76";"housenumber";"ADRNIVX_0000001402008473";"304";"AllÃ©e des Bois Noirs";;"97432";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.285512,55.460448"
"97441";"1 BIS CHEMIN COMMUNE BEGUE";;"SAINTE-SUZANNE";"REUNION";"-20.932709";"55.641482";"1 BIS Chemin Commune Begue 97441 Sainte-Suzanne";"0.76";"housenumber";"ADRNIVX_0000002006206230";"1 BIS";"Chemin Commune Begue";;"97441";"Sainte-Suzanne";"974, La RÃ©union";"97420";"-20.932709,55.641482"
"97410";"8 RUE VICTOR LE VIGOUREUX";;"SAINT-PIERRE";"REUNION";"-21.34173";"55.473731";"8 Rue Victor le Vigoureux 97410 Saint-Pierre";"0.76";"housenumber";"ADRNIVX_0000001402402152";"8";"Rue Victor le Vigoureux";;"97410";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.34173,55.473731"
"97480";"38 CHEMIN DU GRAND DEFRICHE";;"SAINT-JOSEPH";"REUNION";"-21.333337";"55.642985";"38 Chemin du Grand Defriche 97480 Saint-Joseph";"0.76";"housenumber";"ADRNIVX_0000001402449772";"38";"Chemin du Grand Defriche";;"97480";"Saint-Joseph";"974, La RÃ©union";"97412";"-21.333332,55.642952"
"97480";"72 CHEMIN DU GRAND DEFRICHE";;"SAINT-JOSEPH";"REUNION";"-21.33333";"55.642972";"72 Chemin du Grand Defriche 97480 Saint-Joseph";"0.76";"housenumber";"ADRNIVX_0000001402035984";"72";"Chemin du Grand Defriche";;"97480";"Saint-Joseph";"974, La RÃ©union";"97412";"-21.33333,55.642972"
"97400";"21 RUE DE LA CITE JASMIN";;"SAINT-DENIS";"REUNION";"-20.886608";"55.458156";"21 Rue de la CitÃ© Jasmin 97400 Saint-Denis";"0.76";"housenumber";"ADRNIVX_0000001401763270";"21";"Rue de la CitÃ© Jasmin";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.886609,55.4582"
"97490";"25 CHEMIN DE LA CAROLINE";;"SAINT-DENIS";"REUNION";"-20.907765";"55.494003";"25 Chemin de la Caroline 97490 Saint-Denis";"0.76";"housenumber";"ADRNIVX_0000001401788026";"25";"Chemin de la Caroline";;"97490";"Saint-Denis";"974, La RÃ©union";"97411";"-20.907754,55.494084"
"97430";"189 RUE MARIUS ET ARY LEBLOND";;"LE TAMPON";"REUNION";"-21.278574";"55.524931";"189 Rue Marius et Ary Leblond 97430 Le Tampon";"0.76";"housenumber";"ADRNIVX_0000001401998071";"189";"Rue Marius et Ary Leblond";;"97430";"Le Tampon";"974, La RÃ©union";"97422";"-21.278574,55.524931"
"97490";"56 AVENUE EUDOXIE NONGE ";;"SAINT-DENIS";"REUNION";"-20.898996";"55.495231";"56 Avenue Eudoxie Nonge 97490 Saint-Denis";"0.76";"housenumber";"ADRNIVX_0000001402296699";"56";"Avenue Eudoxie Nonge";;"97490";"Saint-Denis";"974, La RÃ©union";"97411";"-20.899063,55.495336"
"97490";"16 T RUE LORY LES HAUTS";;"SAINT-DENIS";"REUNION";"-20.894079";"55.48176";"16 T Rue Lory les Hauts 97490 Saint-Denis";"0.76";"housenumber";"ADRNIVX_0000001402628640";"16 T";"Rue Lory les Hauts";;"97490";"Saint-Denis";"974, La RÃ©union";"97411";"-20.894008,55.481506"
"75008";"18 AVENUE DE FRIEDLAND ";;"PARIS";"PARIS";"48.874429";"2.300964";"18 Avenue de Friedland 75008 Paris";"0.76";"housenumber";"ADRNIVX_0000000270740163";"18";"Avenue de Friedland";;"75008";"Paris";"75, Paris, ÃŽle-de-France";"75108";
"97480";"70 CHEMIN DU GRAND DEFRICHE";;"SAINT-JOSEPH";"REUNION";"-21.33333";"55.642962";"70 Chemin du Grand Defriche 97480 Saint-Joseph";"0.76";"housenumber";"ADRNIVX_0000001402035982";"70";"Chemin du Grand Defriche";;"97480";"Saint-Joseph";"974, La RÃ©union";"97412";"-21.33333,55.642962"
"97431";"23 RUE DU GYMNASE";;"LA PLAINE DES PALMISTES";"REUNION";"-21.138241";"55.625623";"23 Rue du Gymnase 97431 La Plaine-des-Palmistes";"0.76";"housenumber";"ADRNIVX_0000001402627886";"23";"Rue du Gymnase";;"97431";"La Plaine-des-Palmistes";"974, La RÃ©union";"97406";"-21.138241,55.625623"
"97410";"42 RUE DESIRE BARQUISSEAU";;"SAINT-PIERRE";"REUNION";"-21.339458";"55.476927";"42 Rue DÃ©sirÃ© Barquisseau 97410 Saint-Pierre";"0.76";"housenumber";"ADRNIVX_0000001402043764";"42";"Rue DÃ©sirÃ© Barquisseau";;"97410";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.339458,55.476927"
"97460";"7 RUE MARIUS ET ARY LEBLOND";;"SAINT-PAUL";"REUNION";"-21.009082";"55.270567";"7 Rue Marius et Ary Leblond 97460 Saint-Paul";"0.76";"housenumber";"ADRNIVX_0000001402282138";"7";"Rue Marius et Ary Leblond";;"97460";"Saint-Paul";"974, La RÃ©union";"97415";"-21.009082,55.270567"
"97480";"34 CHEMIN DU GRAND DEFRICHE";;"SAINT-JOSEPH";"REUNION";"-21.333332";"55.642933";"34 Chemin du Grand Defriche 97480 Saint-Joseph";"0.76";"housenumber";"ADRNIVX_0000001402035966";"34";"Chemin du Grand Defriche";;"97480";"Saint-Joseph";"974, La RÃ©union";"97412";"-21.333332,55.642933"
"97480";"40 CHEMIN DU GRAND DEFRICHE";;"SAINT-JOSEPH";"REUNION";"-21.337116";"55.643003";"40 Chemin du Grand Defriche 97480 Saint-Joseph";"0.76";"housenumber";"ADRNIVX_0000001402035969";"40";"Chemin du Grand Defriche";;"97480";"Saint-Joseph";"974, La RÃ©union";"97412";"-21.337116,55.643003"
"97480";"62 CHEMIN DU GRAND DEFRICHE";;"SAINT-JOSEPH";"REUNION";"-21.333076";"55.642524";"62 Chemin du Grand Defriche 97480 Saint-Joseph";"0.76";"housenumber";"ADRNIVX_0000001402035979";"62";"Chemin du Grand Defriche";;"97480";"Saint-Joseph";"974, La RÃ©union";"97412";"-21.333076,55.642524"
"97400";"1 ROUTE DE MONTGAILLARD ";;"SAINT-DENIS";"REUNION";"-20.898742";"55.46887";"1 Route de Montgaillard 97400 Saint-Denis";"0.76";"housenumber";"ADRNIVX_0000001401779628";"1";"Route de Montgaillard";;"97400";"Saint-Denis";"974, La RÃ©union";"97411";"-20.898994,55.468554"
"97470";"2 RUE PIERRE BENOIT DUMAS";;"SAINT-BENOIT";"REUNION";"-21.036062";"55.71525";"2 Rue Pierre BenoÃ®t Dumas 97470 Saint-BenoÃ®t";"0.76";"housenumber";"ADRNIVX_0000001401881301";"2";"Rue Pierre BenoÃ®t Dumas";;"97470";"Saint-BenoÃ®t";"974, La RÃ©union";"97410";"-21.036062,55.71525"
"97440";"143 AVENUE DE LA REPUBLIQUE";;"SAINT-ANDRE";"REUNION";"-20.960925";"55.651323";"143 Avenue de la RÃ©publique 97440 Saint-AndrÃ©";"0.76";"housenumber";"ADRNIVX_0000001401842016";"143";"Avenue de la RÃ©publique";;"97440";"Saint-AndrÃ©";"974, La RÃ©union";"97409";"-20.960925,55.651323"
"97421";"74 B RUE EVARISTE DE PARNY";;"SAINT-LOUIS";"REUNION";"-21.247932";"55.434007";"74 B Rue Ã‰variste de Parny 97421 Saint-Louis";"0.76";"housenumber";"ADRNIVX_0000001401970349";"74 B";"Rue Ã‰variste de Parny";;"97421";"Saint-Louis";"974, La RÃ©union";"97414";"-21.247932,55.434007"
"97490";"159 CHEMIN DE LA SOURCE";;"SAINT-DENIS";"REUNION";"-20.923822";"55.484534";"159 Chemin de la Source 97490 Saint-Denis";"0.76";"housenumber";"ADRNIVX_0000001402295300";"159";"Chemin de la Source";;"97490";"Saint-Denis";"974, La RÃ©union";"97411";"-20.923773,55.484655"
"97410";"508 ROUTE DE L ENTRE DEUX";;"SAINT-PIERRE";"REUNION";"-21.287906";"55.454252";"508 Route de l'Entre Deux 97410 Saint-Pierre";"0.76";"housenumber";"ADRNIVX_0000001402402587";"508";"Route de l'Entre Deux";;"97410";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.290719,55.451621"
"97410";"76 RUE DES BONS ENFANTS";;"SAINT-PIERRE";"REUNION";"-21.339923";"55.474557";"76 Rue des Bons Enfants 97410 Saint-Pierre";"0.76";"housenumber";"ADRNIVX_0000001402043837";"76";"Rue des Bons Enfants";;"97410";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.339923,55.474557"
"97410";"43 RUE DESIRE BARQUISSEAU";;"SAINT-PIERRE";"REUNION";"-21.340906";"55.476393";"43 Rue DÃ©sirÃ© Barquisseau 97410 Saint-Pierre";"0.76";"housenumber";"ADRNIVX_0000001402046157";"43";"Rue DÃ©sirÃ© Barquisseau";;"97410";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.340906,55.476393"
"97410";"7 RUE AUGUSTIN ARCHAMBAUD";;"SAINT-PIERRE";"REUNION";"-21.340267";"55.477825";"7 Rue Augustin Archambaud 97410 Saint-Pierre";"0.76";"housenumber";"ADRNIVX_0000001402046069";"7";"Rue Augustin Archambaud";;"97410";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.340267,55.477825"
"97460";"8 RUE JEAN BERNARD ROUSSEAU";;"SAINT-PAUL";"REUNION";"-21.011354";"55.266661";"8 Rue Jean Bernard Rousseau 97460 Saint-Paul";"0.76";"housenumber";"ADRNIVX_0000001402453220";"8";"Rue Jean Bernard Rousseau";;"97460";"Saint-Paul";"974, La RÃ©union";"97415";"-21.011354,55.266661"
"97480";"56 CHEMIN DU GRAND DEFRICHE";;"SAINT-JOSEPH";"REUNION";"-21.333684";"55.642311";"56 Chemin du Grand Defriche 97480 Saint-Joseph";"0.76";"housenumber";"ADRNIVX_0000001402362993";"56";"Chemin du Grand Defriche";;"97480";"Saint-Joseph";"974, La RÃ©union";"97412";"-21.333684,55.642311"
"97480";"80 CHEMIN DU GRAND DEFRICHE";;"SAINT-JOSEPH";"REUNION";"-21.333336";"55.643024";"80 Chemin du Grand Defriche 97480 Saint-Joseph";"0.76";"housenumber";"ADRNIVX_0000001402412892";"80";"Chemin du Grand Defriche";;"97480";"Saint-Joseph";"974, La RÃ©union";"97412";"-21.33333,55.642991"
"97429";"112 RUE MAHE DE LABOURDONNAIS";;"PETITE ILE";"REUNION";"-21.359884";"55.566236";"112 Rue Mahe de Labourdonnais 97429 Petite-ÃŽle";"0.76";"housenumber";"ADRNIVX_0000001402426967";"112";"Rue Mahe de Labourdonnais";;"97429";"Petite-ÃŽle";"974, La RÃ©union";"97405";"-21.359904,55.566363"
"75011";"11 RUE NEUVE POPINCOURT";;"PARIS";"PARIS";"48.864106";"2.374445";"11 Rue Neuve Popincourt 75011 Paris";"0.76";"housenumber";"ADRNIVX_0000000270761366";"11";"Rue Neuve Popincourt";;"75011";"Paris";"75, Paris, ÃŽle-de-France";"75111";"48.864106,2.374445"
"97430";"330 RUE MARIUS ET ARY LEBLOND";;"LE TAMPON";"REUNION";"-21.274131";"55.52535";"330 Rue Marius et Ary Leblond 97430 Le Tampon";"0.76";"housenumber";"ADRNIVX_0000001402364044";"330";"Rue Marius et Ary Leblond";;"97430";"Le Tampon";"974, La RÃ©union";"97422";"-21.274131,55.52535"
"97441";"9 RUE DU COMMERCE";;"SAINTE-SUZANNE";"REUNION";"-20.931964";"55.63752";"9 Rue du Commerce 97441 Sainte-Suzanne";"0.76";"housenumber";"ADRNIVX_0000002006206203";"9";"Rue du Commerce";;"97441";"Sainte-Suzanne";"974, La RÃ©union";"97420";"-20.931965,55.63752"
"97410";"73 RUE DES BONS ENFANTS";;"SAINT-PIERRE";"REUNION";"-21.339337";"55.472271";"73 Rue des Bons Enfants 97410 Saint-Pierre";"0.76";"housenumber";"ADRNIVX_0000001402043897";"73";"Rue des Bons Enfants";;"97410";"Saint-Pierre";"974, La RÃ©union";"97416";"-21.339337,55.472271"
